연번 ,시설종류,시설명,도로명 주소,수용인원,위도,경도
194,경로당,연수서해그랑블3단지아파트경로당,인천광역시 연수구 봉재산로 76,,37.4059796,126.6677766
195,경로당,대동아파트경로당,인천광역시 연수구 먼우금로69,,37.40636039,126.6687865
196,경로당,동남아파트경로당,인천광역시 연수구 먼우금로 19,,37.40072263,126.6674291
197,경로당,무지개마을아파트경로당,인천광역시 연수구 원인재로 14,,37.40128348,126.6700282
198,경로당,아주아파트경로당,인천광역시 연수구 먼우금로63번길 13,,37.40424312,126.6696032
199,경로당,풍림2차아파트경로당,인천광역시 연수구 경원대로119번길 21,,37.40029973,126.673095
200,경로당,한양2차아파트경로당,인천광역시 연수구 원인재로 59,,37.40534509,126.6706455
201,경로당,현대1차아파트경로당,인천광역시 연수구 원인재로 56,,37.40350251,126.6758736
202,경로당,대우삼환아파트경로당,인천광역시 연수구 원인재로 88,,37.40648499,126.6782948
203,경로당,동아금호아파트경로당,인천광역시 연수구 청능대로 124,,37.41069005,126.6772382
204,경로당,럭키삼성아파트경로당,인천광역시 연수구 원인재로 81,,37.40699381,126.6754507
205,경로당,한양1차아파트경로당,인천광역시 연수구 원인재로 124,,37.40812103,126.6811803
206,경로당,현대대림아파트경로당,인천광역시 연수구 먼우금로 126,,37.40927622,126.674089
207,경로당,금호어울림아파트경로당,인천광역시 연수구 해돋이로84번길 30,,37.39047858,126.6563402
208,경로당,더샵퍼스트월드경로당,인천광역시 연수구 해돋이로 107,,37.39278537,126.6476486
209,경로당,성지리벨루스경로당,인천광역시 연수구 신송로6번길 7,,37.38938361,126.6622883
210,경로당,아이파크송도아파트경로당,인천광역시 연수구 해돋이로6번길 7,,37.38861474,126.6580447
211,경로당,웰카운티1단지경로당,"인천광역시 연수구 해송로 143, 125동",,37.3778115,126.6493512
212,경로당,웰카운티2단지경로당,인천광역시 연수구 해송로 70,,37.37894798,126.6486646
213,경로당,웰카운티3단지경로당,인천광역시 연수구 해송로30번길 19,,37.38213287,126.6474558
214,경로당,웰카운티4단지경로당,인천광역시 연수구 해송로30번길 20,,37.38167041,126.6456236
215,경로당,풍림아이원아파트1단지경로당,인천광역시 연수구 신송로118번길 6,,37.39571857,126.6536041
216,경로당,풍림아이원아파트2단지경로당,인천광역시 연수구 해돋이로120번길 16,,37.39426011,126.6521281
217,경로당,풍림아이원아파트3단지경로당,인천광역시 연수구 해돋이로84번길 29,,37.39242492,126.6531773
218,경로당,풍림아이원아파트4단지경로당,인천광역시 연수구 신송로82번길 6,,37.39305657,126.6564297
219,경로당,풍림아이원아파트6단지경로당,인천광역시 연수구 해돋이로84번길 10,,37.39070608,126.6533661
220,경로당,해모로경로당(송도),인천광역시 연수구 해돋이로6번길 33,,37.38902819,126.6587488
221,경로당,더샵그린애비뉴7단지경로당,"인천광역시 연수구 컨벤시아대로42번길35, 703동",,37.39972207,126.6475354
222,경로당,더샵그린애비뉴8단지경로당,"인천광역시 연수구 컨벤시아대로42번길61, 803동",,37.40038557,126.6464618
223,경로당,더샵그린워크1차아파트경로당,인천광역시 연수구 아트센터대로97번길 30,,37.39821949,126.6414298
224,경로당,더샵센트럴파크1경로당,"인천광역시 연수구 센트럴로 232, 102동",,37.39625053,126.6378852
225,경로당,더샵센트럴파크2경로당,"인천광역시 연수구 센트럴로 194, 201동 2층",,37.39377291,126.6418262
226,경로당,더샵엑스포10단지경로당,"인천광역시 연수구 컨벤시아대로42번길 95, 1003동 옆",,37.40323241,126.6440613
227,경로당,더샵엑스포9단지경로당,"인천광역시 연수구 컨벤시아대로42번길 77(903동, 904동 사이)",,37.40267328,126.6448056
228,경로당,더샵하버뷰13단지경로당,인천광역시 연수구 아트센터대로97번길 75,,37.3985848,126.6473638
